代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00669	创科实业	0.86	88585232	29.450	29.200	500	3014365	0.17	29.100	29.700	29.100	--  	0.68	2.05	0.250	   1053	29.300	29.450	507849.69	
00670	中国东方航空股份	-0.49	63754844	4.100	4.120	2000	15494000	0.00	4.160	4.190	4.070	--  	0.00	2.91	-0.020	    609	4.090	4.100	20488500.00	
00680	南海控股	6.00	22691764	0.265	0.250	50000	88631512	0.00	0.248	0.265	0.245	--  	0.00	8.00	0.015	    167	0.260	0.265	2387381.50	
00683	嘉里建设	0.00	35376612	24.950	24.950	500	1424341	0.20	24.850	25.000	24.650	--  	0.00	1.40	0.000	    679	24.900	24.950	15831704.00	
00688	中国海外发展	-1.84	455070944	24.000	24.450	2000	18949592	0.00	24.250	24.300	23.850	--  	1.46	1.84	-0.450	   1310	23.950	24.000	42338040.00	
00691	山水水泥	0.00	0	6.290	6.290	1000	0	0.00	6.290	6.290	6.290	--  	0.00	0.00	0.000	      1	--  	6.290	2678121.00	
00694	北京首都机场股份	-1.15	24895792	8.560	8.660	2000	2908000	-0.12	8.500	8.670	8.450	--  	0.85	2.54	-0.100	    252	8.560	8.560	3250905.75	
00696	中国民航信息网络	0.00	29271916	17.300	17.300	1000	1706767	0.46	17.200	17.400	17.000	--  	0.00	2.31	0.000	    474	17.240	17.300	1729647.63	
00698	通达集团	0.00	46234812	2.560	2.560	10000	18119000	0.39	2.550	2.570	2.530	--  	0.78	1.56	0.000	    746	2.550	2.560	953946.81	
00699	神州租车	0.14	82191800	7.240	7.230	1000	11500754	0.42	7.210	7.240	7.070	--  	0.00	2.35	0.010	   1486	7.230	7.240	1885047.63	
00700	腾讯控股	-1.13	2975523328	209.800	212.200	100	14123866	-0.10	213.000	213.000	209.200	--  	0.00	1.79	-2.400	   5949	209.600	209.800	35276200.00	
00709	佐丹奴国际	1.22	17399770	4.140	4.090	2000	4207860	0.24	4.090	4.220	4.070	--  	3.02	3.67	0.050	    528	4.120	4.140	371500.00	
00715	中泛控股	-1.28	866090	0.770	0.780	2000	1120000	-1.28	0.780	0.790	0.770	--  	0.00	2.56	-0.010	     57	0.770	0.770	1284258.13	
00719	山东新华制药股份	0.33	3994600	6.030	6.010	2000	662000	-0.17	6.030	6.050	6.000	--  	0.00	0.83	0.020	     76	6.020	6.030	438704.63	
00721	中国金融国际	1.28	4598500	0.395	0.390	10000	11710000	1.28	0.390	0.405	0.385	--  	0.00	5.13	0.005	    264	0.385	0.395	172731.91	
00728	中国电信	-0.56	137919728	3.580	3.600	2000	38522760	0.28	3.560	3.600	3.560	--  	0.00	1.11	-0.020	   1717	3.580	3.580	64290900.00	
00729	五龙电动车	-1.49	11824176	0.330	0.335	5000	35825000	0.00	0.330	0.335	0.325	--  	0.00	2.99	-0.005	    237	0.325	0.330	953690.81	
