代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08307	密迪斯肌	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08306	中国有色金属	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08301	明华科技	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08297	芭迪贝伊	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08295	中植资本国际	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08286	长城微光	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08281	中国金典集团	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08280	中国数字视频	-1.37	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08277	骏东控股	-1.52	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08273	浙江展望	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08270	中国煤层气	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08262	宏强控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08261	海天能源	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
08258	西北实业	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08235	赛迪顾问	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08233	中国基建港口	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
