代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
03908	中金公司	0.00	161473936	0.000	16.800	16.820	9541428	1167600	-0.12	          0.63	16.780	
002390	信邦制药	2.81	160786624	0.23	8.42	8.43	192367	4268	-0.23	          1.88	8.21	
300700	岱勒新材	2.86	160205776	1.79	64.28	64.30	25171	245	0.08	         12.22	62.45	
600133	东湖高新	3.55	159854768	0.33	9.61	9.62	168093	4	0.10	          3.12	9.28	
002012	凯恩股份	0.49	159560656	0.04	8.15	8.16	193912	2905	-0.23	          4.15	8.14	
00148	建滔化工	1.37	159379232	0.600	44.250	44.300	3637859	2041000	2.08	          0.34	43.250	
600560	金自天正	9.98	159053360	1.07	11.79	--  	136622	64	0.00	          6.11	10.72	
300302	同有科技	1.03	158767264	0.11	10.79	10.80	143628	2863	-0.73	          5.87	10.71	
002581	未名医药	2.55	158704176	0.40	16.07	16.08	96846	980	0.25	          2.42	15.73	
002429	兆驰股份	2.37	158127952	0.08	3.44	3.45	458674	4988	0.00	          1.15	3.36	
002467	二六三	1.26	157686896	0.09	7.24	7.25	215793	3515	-0.13	          3.43	7.17	
601607	上海医药	0.00	157048576	0.00	23.23	23.24	66880	12	0.13	          0.35	23.17	
600446	金证股份	1.43	157035648	0.23	16.30	16.34	95782	15	1.05	          1.20	16.41	
002903	宇环数控	2.42	156636384	0.94	39.83	39.84	39233	725	-0.27	         15.69	39.28	
600580	卧龙电气	3.28	156511600	0.27	8.48	8.50	184441	10	-0.11	          1.66	8.24	
603181	皇马科技	6.18	155772608	1.28	21.96	21.98	71187	2	0.09	         14.24	20.80	
000555	神州信息	10.01	154682848	1.04	11.43	--  	137978	859	0.00	          1.51	10.37	
00177	江苏宁沪高速公路	6.61	154544352	0.740	11.900	11.940	13312988	3930000	3.29	          1.09	11.280	
600120	浙江东方	4.02	154031920	0.88	22.79	22.80	68225	56	0.35	          1.35	21.90	
002044	美年健康	2.06	152856592	0.50	24.78	24.79	61610	569	-0.03	          0.58	24.46	
002251	步 步 高	1.10	152317248	0.17	15.59	15.60	96569	1063	-0.12	          1.27	15.51	
000890	法 尔 胜	1.82	149517712	0.13	7.27	7.28	204884	2364	0.28	          5.40	7.00	
600846	同济科技	0.00	148887680	0.00	9.05	9.06	163702	20	0.00	          2.62	9.06	
02688	新奥能源	0.64	148387568	0.400	62.600	62.650	2371540	1290000	0.24	          0.22	62.950	
600368	五洲交通	2.26	147776928	0.12	5.44	5.45	267733	120	-0.17	          3.21	5.50	
002419	天虹股份	0.40	147502912	0.08	19.88	19.89	73313	389	-0.09	          0.92	19.90	
600208	新湖中宝	0.65	146999104	0.03	4.63	4.64	316210	13	0.22	          0.37	4.60	
00881	中升控股	3.12	146857360	0.650	21.450	21.500	6869701	1089500	0.94	          0.30	21.000	
02666	环球医疗	5.50	146049248	0.360	6.890	6.910	21484200	1322500	0.44	          1.25	6.550	
603000	人民网	0.61	145567248	0.07	11.43	11.45	126528	50	-0.16	          1.14	11.38	
601200	上海环境	2.20	145415888	0.47	21.81	21.82	67191	10	0.23	          1.00	21.38	
603626	科森科技	3.62	145161696	0.94	26.88	26.90	54373	16	0.30	          4.81	25.91	
603938	三孚股份	2.23	144929568	0.74	33.99	34.00	41582	3	0.27	         11.07	33.64	
